,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,0.7857142857142857,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0
kicking,0.0,0.1,0.0,0.0,0.65,0.1,0.1,0.0,0.05,0.0
lifting,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.0,0.0,0.07692307692307693,0.0,0.38461538461538464,0.3076923076923077,0.0,0.0,0.15384615384615385,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333
swinging,0.0,0.05,0.0,0.55,0.1,0.2,0.1,0.0,0.0,0.0
swinging-bar,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.0,0.0,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.5909090909090909,0.0
