,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.05
lifting,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0
riding-horse,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
running,0.0,0.23076923076923078,0.0,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0
skateboarding,0.0,0.0,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.08333333333333333,0.3333333333333333
swinging,0.0,0.1,0.05,0.8,0.0,0.0,0.05,0.0,0.0,0.0
swinging-bar,0.15384615384615385,0.46153846153846156,0.0,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.22727272727272727,0.45454545454545453
