,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0
lifting,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.0,0.0,0.07692307692307693,0.0,0.6153846153846154,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693
skateboarding,0.0,0.08333333333333333,0.0,0.0,0.0,0.75,0.0,0.0,0.08333333333333333,0.08333333333333333
swinging,0.1,0.05,0.0,0.7,0.0,0.0,0.15,0.0,0.0,0.0
swinging-bar,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.0,0.0,0.0,0.0,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.0,0.36363636363636365,0.36363636363636365
