,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.55,0.0,0.05,0.05,0.1,0.0,0.0,0.25,0.0
lifting,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.0,0.07692307692307693,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385
skateboarding,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25
swinging,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.6923076923076923,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.0,0.0,0.0,0.0,0.045454545454545456,0.18181818181818182,0.0,0.045454545454545456,0.36363636363636365,0.36363636363636365
