,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.85,0.0
lifting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
running,0.07692307692307693,0.0,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.3076923076923077
skateboarding,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.16666666666666666,0.4166666666666667
swinging,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.07692307692307693,0.0,0.0,0.46153846153846156,0.0,0.0,0.46153846153846156,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.5,0.3181818181818182
