,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.65,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.05
lifting,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0
riding-horse,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
running,0.0,0.07692307692307693,0.0,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0
skateboarding,0.0,0.0,0.0,0.0,0.08333333333333333,0.5833333333333334,0.0,0.0,0.08333333333333333,0.25
swinging,0.0,0.1,0.0,0.85,0.0,0.0,0.05,0.0,0.0,0.0
swinging-bar,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.2727272727272727,0.4090909090909091
