,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.45,0.0,0.0,0.35,0.0,0.0,0.0,0.15,0.05
lifting,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.0,0.0,0.0,0.0,0.6923076923076923,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333
swinging,0.05,0.0,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.8461538461538461,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.4090909090909091,0.2727272727272727
