,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.6,0.0,0.05,0.0,0.05,0.0,0.05,0.25,0.0
lifting,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
riding-horse,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
running,0.0,0.07692307692307693,0.0,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.0,0.0,0.15384615384615385,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.3333333333333333
swinging,0.0,0.05,0.0,0.9,0.0,0.05,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.9230769230769231,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.09090909090909091,0.0,0.5454545454545454,0.09090909090909091
