,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,0.7142857142857143,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0
kicking,0.0,0.55,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.1
lifting,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
riding-horse,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
running,0.07692307692307693,0.07692307692307693,0.0,0.0,0.46153846153846156,0.07692307692307693,0.0,0.0,0.07692307692307693,0.23076923076923078
skateboarding,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.75
swinging,0.0,0.65,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0
swinging-bar,0.0,0.8461538461538461,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.045454545454545456,0.0,0.45454545454545453,0.3181818181818182
