,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
kicking,0.15,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.1
lifting,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0
riding-horse,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.4166666666666667,0.0,0.0,0.0
running,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693
skateboarding,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.5833333333333334
swinging,0.05,0.45,0.2,0.0,0.0,0.25,0.0,0.05,0.0,0.0
swinging-bar,0.0,0.6153846153846154,0.07692307692307693,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
walking,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.09090909090909091,0.3181818181818182,0.4090909090909091
