,action_name,ucf-101-fasttext.config_o_compositionsa_10kobj_5ksce_250kobjsce_0xdiscr_0adiscr_0.75lambda_Englishl_accuracy,ucf-101-fasttext.config_o_compositionsa_50kobj_5ksce_250kobjsce_0xdiscr_0adiscr_0.75lambda_Englishl_accuracy,ucf-101-fasttext.config_o_compositionsa_100kobj_5ksce_250kobjsce_0xdiscr_0adiscr_0.75lambda_Englishl_accuracy,ucf-101-fasttext.config_s_compositionsa_100kobj_3ksce_250kobjsce_0xdiscr_0adiscr_0.75lambda_Englishl_accuracy
0,ApplyEyeMakeup,0.6275862068965518,0.7241379310344828,0.696551724137931,0.013793103448275862
1,ApplyLipstick,0.2543859649122807,0.0087719298245614,0.0175438596491228,0.0
2,Archery,0.5310344827586206,0.4896551724137931,0.5310344827586206,0.05517241379310345
3,BabyCrawling,0.0454545454545454,0.2272727272727272,0.1818181818181818,0.29545454545454547
4,BalanceBeam,0.4537037037037037,0.3796296296296296,0.324074074074074,0.0
5,BandMarching,0.535483870967742,0.6387096774193548,0.4129032258064516,0.0
6,BaseballPitch,0.6933333333333334,0.86,0.88,0.94
7,Basketball,0.3955223880597014,0.3358208955223881,0.2985074626865671,0.6791044776119403
8,BasketballDunk,0.2290076335877862,0.0916030534351145,0.015267175572519,0.24427480916030533
9,BenchPress,0.04375,0.075,0.20625,0.0
10,Biking,0.7611940298507462,0.8208955223880597,0.8582089552238806,0.04477611940298507
11,Billiards,0.3266666666666666,0.42,0.32,0.8266666666666667
12,BlowDryHair,0.0,0.0,0.0229007633587786,0.0
13,BlowingCandles,0.5045871559633027,0.4587155963302752,0.4770642201834862,0.009174311926605505
14,BodyWeightSquats,0.2589285714285714,0.3392857142857143,0.3928571428571428,0.008928571428571428
15,Bowling,0.9870967741935484,0.9806451612903224,0.9870967741935484,1.0
16,BoxingPunchingBag,0.6134969325153374,0.6932515337423313,0.7055214723926381,0.4171779141104294
17,BoxingSpeedBag,0.0,0.0074626865671641,0.0223880597014925,0.007462686567164179
18,BreastStroke,0.0,0.0,0.0,0.0
19,BrushingTeeth,0.4274809160305343,0.2595419847328244,0.2900763358778626,0.10687022900763359
20,CleanAndJerk,0.0,0.0,0.0,0.0
21,CliffDiving,0.144927536231884,0.3405797101449275,0.3333333333333333,0.3115942028985507
22,CricketBowling,0.5251798561151079,0.4172661870503597,0.4676258992805755,0.0
23,CricketShot,0.0,0.0,0.0,0.0
24,CuttingInKitchen,0.009090909090909,0.0272727272727272,0.0272727272727272,0.2909090909090909
25,Diving,0.5666666666666667,0.5066666666666667,0.36,0.0
26,Drumming,0.8198757763975155,0.6770186335403726,0.7329192546583851,0.0
27,Fencing,0.6306306306306306,0.6306306306306306,0.6396396396396397,0.0
28,FieldHockeyPenalty,0.4126984126984127,0.0952380952380952,0.1111111111111111,0.6111111111111112
29,FloorGymnastics,0.208,0.224,0.296,0.024
30,FrisbeeCatch,0.0,0.0,0.0,0.0
31,FrontCrawl,0.0,0.0,0.0,0.0
32,GolfSwing,0.9136690647482014,0.8201438848920863,0.7338129496402878,0.9136690647482014
33,Haircut,0.4307692307692308,0.4307692307692308,0.3923076923076923,0.9153846153846154
34,HammerThrow,0.0,0.0,0.0,0.0
35,Hammering,0.0214285714285714,0.0428571428571428,0.0357142857142857,0.007142857142857143
36,HandstandPushups,0.15625,0.171875,0.15625,0.0
37,HandstandWalking,0.027027027027027,0.0,0.009009009009009,0.06306306306306306
38,HeadMassage,0.0544217687074829,0.0204081632653061,0.0612244897959183,0.0
39,HighJump,0.6178861788617886,0.4634146341463415,0.3821138211382114,0.0
40,HorseRace,0.8387096774193549,0.8225806451612904,0.7580645161290323,0.9596774193548387
41,HorseRiding,0.9329268292682928,0.9085365853658536,0.7926829268292683,0.06097560975609756
42,HulaHoop,0.288,0.216,0.352,0.0
43,IceDancing,0.981012658227848,0.9240506329113924,0.930379746835443,1.0
44,JavelinThrow,0.0427350427350427,0.0,0.0085470085470085,0.0
45,JugglingBalls,0.1074380165289256,0.0743801652892562,0.0578512396694214,0.0
46,JumpRope,0.0,0.0,0.0,0.013888888888888888
47,JumpingJack,0.0,0.0,0.0,0.0
48,Kayaking,0.4468085106382978,0.3404255319148936,0.226950354609929,0.0
49,Knitting,0.5853658536585366,0.5528455284552846,0.4715447154471545,0.0
50,LongJump,0.0,0.0,0.0,0.0
51,Lunges,0.0,0.0,0.0,0.0
52,MilitaryParade,0.288,0.392,0.496,0.2
53,Mixing,0.2941176470588235,0.4191176470588235,0.3823529411764705,0.08823529411764706
54,MoppingFloor,0.1181818181818181,0.1454545454545454,0.1636363636363636,0.1
55,Nunchucks,0.0909090909090909,0.0757575757575757,0.0378787878787878,0.0
56,ParallelBars,0.8771929824561403,0.8245614035087719,0.7894736842105263,0.0
57,PizzaTossing,0.0,0.0,0.0,0.08849557522123894
58,PlayingCello,0.8292682926829268,0.7804878048780488,0.6585365853658537,0.16463414634146342
59,PlayingDaf,0.0,0.0,0.0,0.0
60,PlayingDhol,0.0,0.0,0.0,0.0
61,PlayingFlute,0.7870967741935484,0.8,0.7483870967741936,0.0
62,PlayingGuitar,0.69375,0.7,0.45,0.0
63,PlayingPiano,0.6857142857142857,0.4571428571428571,0.8666666666666667,0.6666666666666666
64,PlayingSitar,0.910828025477707,0.9171974522292994,0.8726114649681529,0.0
65,PlayingTabla,0.1351351351351351,0.3243243243243243,0.1081081081081081,0.0
66,PlayingViolin,0.37,0.4,0.68,0.0
67,PoleVault,0.1208053691275167,0.2080536912751678,0.174496644295302,0.020134228187919462
